,날짜,종가,전일비,시가,고가,저가,거래량
0,2023.11.28,72700.0,1400.0,71400.0,72700.0,71300.0,13283081.0
1,2023.11.27,71300.0,400.0,71500.0,72100.0,71100.0,9113857.0
2,2023.11.24,71700.0,700.0,72400.0,72600.0,71700.0,6676685.0
3,2023.11.23,72400.0,400.0,73000.0,73200.0,72200.0,6775614.0
4,2023.11.22,72800.0,0.0,72200.0,73000.0,71900.0,11105143.0
5,2023.11.21,72800.0,100.0,73100.0,73400.0,72700.0,9712881.0
6,2023.11.20,72700.0,200.0,72100.0,73000.0,72100.0,10610157.0
7,2023.11.17,72500.0,300.0,72300.0,73000.0,72300.0,11494644.0
8,2023.11.16,72800.0,600.0,72500.0,73000.0,72300.0,15860451.0
9,2023.11.15,72200.0,1400.0,71600.0,72200.0,71500.0,20148677.0
